,id,nearc2,nearc4,nearc4a,nearc4b,ed76,ed66,age76,daded,nodaded,momed,nomomed,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,work76,work78,lwage76,lwage78,famed,black,smsa76r,smsa78r,reg76r,reg78r,reg80r,smsa66r,wage76,wage78,wage80,noint78,noint80,enroll76,enroll78,enroll80,kww,iq,marsta76,marsta78,marsta80,libcrd14
0,2,0,0,0,0,7,5,29,9.94,1,10.25,1,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.30627529,6.07484616,9,1,1,1.0,0,0.0,0.0,1,548.0,500.0,755.0,0,0,0,0.0,0.0,15.0,,1.0,1.0,1.0,0.0
1,3,0,0,0,0,12,11,27,8.0,0,8.0,0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.17586727,,8,0,1,1.0,0,0.0,0.0,1,481.0,,769.0,0,0,0,0.0,0.0,35.0,93.0,1.0,4.0,4.0,1.0
2,4,0,0,0,0,12,12,34,14.0,0,12.0,0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.58063914,,2,0,1,,0,,,1,721.0,,,1,1,0,,,42.0,103.0,1.0,,,1.0
3,5,1,1,1,0,11,11,27,11.0,0,12.0,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.52146092,,6,0,1,,0,,0.0,1,250.0,,,1,0,0,,0.0,25.0,88.0,1.0,,5.0,1.0
4,6,1,1,1,0,12,12,34,8.0,0,7.0,0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.59167373,6.54484979,8,0,1,1.0,0,0.0,,1,729.0,800.0,,0,1,0,0.0,,34.0,108.0,1.0,1.0,,0.0
5,7,1,1,1,0,12,11,26,9.0,0,12.0,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.2146081,6.19351769,6,0,1,1.0,0,0.0,0.0,1,500.0,563.0,630.0,0,0,0,0.0,0.0,38.0,85.0,1.0,4.0,4.0,1.0
6,8,1,1,1,0,18,16,33,14.0,0,14.0,0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.33682573,6.46553598,1,0,1,1.0,0,0.0,0.0,1,565.0,739.0,808.0,0,0,0,0.0,0.0,41.0,119.0,1.0,1.0,1.0,1.0
7,9,1,1,1,0,14,13,29,14.0,0,14.0,0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.41017488,6.53100438,1,0,1,1.0,0,0.0,0.0,1,608.0,789.0,825.0,0,0,0,0.0,0.0,46.0,108.0,1.0,1.0,1.0,1.0
8,10,1,1,1,0,12,12,28,12.0,0,12.0,0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.05208917,6.14809662,3,0,1,1.0,0,0.0,0.0,1,425.0,538.0,650.0,0,0,0,0.0,0.0,32.0,96.0,4.0,4.0,4.0,0.0
9,11,1,1,1,0,12,12,29,12.0,0,12.0,0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.2441669,6.25716771,3,0,1,1.0,0,0.0,0.0,1,515.0,600.0,600.0,0,0,0,0.0,0.0,34.0,97.0,1.0,1.0,1.0,1.0
10,12,1,1,0,1,9,9,28,11.0,0,12.0,0,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5.4161004,5.64406324,6,0,1,1.0,0,0.0,0.0,1,225.0,325.0,,0,0,0,0.0,0.0,29.0,84.0,1.0,1.0,1.0,0.0
11,13,1,1,0,1,12,10,26,11.0,0,6.0,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.99146455,5.91232723,8,0,1,1.0,0,0.0,0.0,1,400.0,425.0,578.0,0,0,0,0.0,0.0,34.0,89.0,1.0,1.0,1.0,1.0
12,14,1,1,0,1,11,9,24,11.0,0,6.0,0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.03308622,,8,0,1,,0,,,1,417.0,,,1,1,0,,,22.0,93.0,1.0,,,1.0
13,15,1,1,0,1,11,9,30,11.0,0,6.0,0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.37989735,6.06882808,8,0,1,1.0,0,0.0,0.0,1,217.0,497.0,563.0,0,0,0,0.0,0.0,27.0,74.0,1.0,1.0,1.0,0.0
14,16,1,1,0,1,16,16,31,9.94,1,8.0,0,648053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,6.79570578,6.80528912,9,1,1,1.0,0,0.0,0.0,1,894.0,1038.0,1400.0,0,0,0,0.0,0.0,43.0,116.0,1.0,1.0,1.0,1.0
